-DOCSTART- -X- -X- O
lakhs NN NN O
. . . O
In IN IN O
order NN NN O
to TO TO O
secure VB VB O
the DT DT O
loan NN NN O
respondent NN NN O
No UH UH O
. . . O
1 CD CD O
executed VBD VBD O
a DT DT O
deed NN NN O
of IN IN O
mortgage NN NN O
of IN IN O
certain JJ JJ O
properties NNS NNS O
on IN IN O
29th CD CD O
June NNP NNP O
1979 CD CD O
and CC CC O
respondents NNS NNS O
2 CD CD O
to TO TO O
4 CD CD O
on IN IN O
the DT DT O
same JJ JJ O
date NN NN O
by IN IN O
executing VBG VBG O
a DT DT O
deed NN NN O
of IN IN O
guarantee NN NN O
stood VBD VBD O
surety NN NN O
for IN IN O
repayment NN NN O
of IN IN O
the DT DT O
said VBD VBD O
loan NN NN O
. . . O
It PRP PRP O
was VBD VBD O
a DT DT O
case NN NN O
of IN IN O
personal JJ JJ O
guarantee NN NN O
only RB RB O
as IN IN O
no DT DT O
property NN NN O
was VBD VBD O
given VBN VBN O
in IN IN O
security NN NN O
. . . O
For IN IN O
the DT DT O
sake NN NN O
of IN IN O
brevity NN NN O
the DT DT O
appellant JJ JJ O
respondent NN NN O
No UH UH O
. . . O
1 CD CD O
and CC CC O
Respondents NNP NNP O
2 CD CD O
to TO TO O
4 CD CD O
shall MD MD O
hereinafter NN NN O
be VB VB O
referred VBN VBN O
to TO TO O

date NN NN O
by IN IN O
executing VBG VBG O
a DT DT O
deed NN NN O
of IN IN O
guarantee NN NN O
stood VBD VBD O
surety NN NN O
for IN IN O
repayment NN NN O
of IN IN O
the DT DT O
said VBD VBD O
loan NN NN O
. . . O
It PRP PRP O
was VBD VBD O
a DT DT O
case NN NN O
of IN IN O
personal JJ JJ O
guarantee NN NN O
only RB RB O
as IN IN O
no DT DT O
property NN NN O
was VBD VBD O
given VBN VBN O
in IN IN O
security NN NN O
. . . O
For IN IN O
the DT DT O
sake NN NN O
of IN IN O
brevity NN NN O
the DT DT O
appellant JJ JJ O
respondent NN NN O
No UH UH O
. . . O
1 CD CD O
and CC CC O
Respondents NNP NNP O
2 CD CD O
to TO TO O
4 CD CD O
shall MD MD O
hereinafter NN NN O
be VB VB O
referred VBN VBN O
to TO TO O
as IN IN O
the DT DT O
Corporation NNP NNP O
the DT DT O
Company NNP NNP O
and CC CC O
the DT DT O
sureties NNS NNS O
respectively RB RB O
. . . O
The DT DT O
amount NN NN O
of IN IN O
loan NN NN O
was VBD VBD O
to TO TO O
be VB VB O
advanced VBN VBN O
in IN IN O
phases NNS NNS O
and CC CC O
after IN IN O
the DT DT O
Corporation NNP NNP O
had VBD VBD O
advanced VBN VBN O
a DT DT O
part NN NN O
of IN IN O
the DT DT O
total NN NN O
sanctioned VBD VBD O
loan NN NN O
the DT DT O
Company NN NN O
did VBD VBD O
not RB RB O
want VB VB O
to TO TO O
avail NN NN O
of IN IN O
the DT DT O
balance NN NN O
of IN IN O
the DT DT O
amount NN NN O
as IN IN O
it PRP PRP O
seems VBZ VBZ O
to TO TO O
have VB VB O

as IN IN O
the DT DT O
Corporation NNP NNP O
the DT DT O
Company NNP NNP O
and CC CC O
the DT DT O
sureties NNS NNS O
respectively RB RB O
. . . O
The DT DT O
amount NN NN O
of IN IN O
loan NN NN O
was VBD VBD O
to TO TO O
be VB VB O
advanced VBN VBN O
in IN IN O
phases NNS NNS O
and CC CC O
after IN IN O
the DT DT O
Corporation NNP NNP O
had VBD VBD O
advanced VBN VBN O
a DT DT O
part NN NN O
of IN IN O
the DT DT O
total NN NN O
sanctioned VBD VBD O
loan NN NN O
the DT DT O
Company NN NN O
did VBD VBD O
not RB RB O
want VB VB O
to TO TO O
avail NN NN O
of IN IN O
the DT DT O
balance NN NN O
of IN IN O
the DT DT O
amount NN NN O
as IN IN O
it PRP PRP O
seems VBZ VBZ O
to TO TO O
have VB VB O
lost VBN VBN O
interest NN NN O
in IN IN O
setting VBG VBG O
up RP RP O
the DT DT O
factory NN NN O
for IN IN O
reasons NNS NNS O
with IN IN O
which WDT WDT O
we PRP PRP O
are VBP VBP O
not RB RB O
concerned VBN VBN O
. . . O
The DT DT O
Corporation NNP NNP O
consequently RB RB O
called VBN VBN O
upon IN IN O
the DT DT O
Company NN NN O
to TO TO O
repay VB VB O
the DT DT O
amount NN NN O
already RB RB O
advanced VBD VBD O
together RB RB O
with IN IN O
interest NN NN O
and CC CC O
on IN IN O
its PRP$ PRP$ O
failure NN NN O
to TO TO O
do VB VB O
so RB RB O
took VBD VBD O
possession NN NN O
under IN IN O
S.29 NNP NNP I-LC
of IN IN I-LC
the DT DT I-LC
State NNP NNP I-LC
Financial NNP NNP I-LC
Corporations NNP NNP I-LC
Act NNP NNP I-LC
1951 CD CD I-LC
( ( ( O
for IN IN O

lost VBD VBD O
interest NN NN O
in IN IN O
setting VBG VBG O
up RP RP O
the DT DT O
factory NN NN O
for IN IN O
reasons NNS NNS O
with IN IN O
which WDT WDT O
we PRP PRP O
are VBP VBP O
not RB RB O
concerned VBN VBN O
. . . O
The DT DT O
Corporation NNP NNP O
consequently RB RB O
called VBN VBN O
upon IN IN O
the DT DT O
Company NN NN O
to TO TO O
repay VB VB O
the DT DT O
amount NN NN O
already RB RB O
advanced VBD VBD O
together RB RB O
with IN IN O
interest NN NN O
and CC CC O
on IN IN O
its PRP$ PRP$ O
failure NN NN O
to TO TO O
do VB VB O
so RB RB O
took VBD VBD O
possession NN NN O
under IN IN O
S.29 NNP NNP I-LC
of IN IN I-LC
the DT DT I-LC
State NNP NNP I-LC
Financial NNP NNP I-LC
Corporations NNP NNP I-LC
Act NNP NNP I-LC
1951 CD CD I-LC
( ( ( O
for IN IN O
short JJ JJ O
the DT DT O
Act NNP NNP O
) ) ) O
over IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
a DT DT O
term NN NN O
defined VBN VBN O
under IN IN O
S.2 NNP NNP I-LC
( ( ( I-LC
c SYM SYM I-LC
) ) ) I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
and CC CC O
took VBD VBD O
steps NNS NNS O
to TO TO O
realise VB VB O
its PRP$ PRP$ O
outstanding JJ JJ O
dues NNS NNS O
by IN IN O
transfer NN NN O
of IN IN O
property NN NN O
in IN IN O
the DT DT O
manner NN NN O
provided VBN VBN O
therein NN NN O
. . . O
However RB RB O
notwithstanding VBG VBG O
advertisements NNS NNS O
for IN IN O
sale NN NN O
thereof NN NN O
having VBG VBG O
been VBN VBN O
made VBN VBN O
on IN IN O
several JJ JJ O
occasions NNS NNS O
the DT DT O
Corporation NNP NNP O
could MD MD O
not RB RB O
get VB VB O
an DT DT O

short JJ JJ O
the DT DT O
Act NNP NNP O
) ) ) O
over IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
a DT DT O
term NN NN O
defined VBN VBN O
under IN IN O
S.2 NNP NNP I-LC
( ( ( I-LC
c SYM SYM I-LC
) ) ) I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
and CC CC O
took VBD VBD O
steps NNS NNS O
to TO TO O
realise VB VB O
its PRP$ PRP$ O
outstanding JJ JJ O
dues NNS NNS O
by IN IN O
transfer NN NN O
of IN IN O
property NN NN O
in IN IN O
the DT DT O
manner NN NN O
provided VBN VBN O
therein NN NN O
. . . O
However RB RB O
notwithstanding VBG VBG O
advertisements NNS NNS O
for IN IN O
sale NN NN O
thereof NN NN O
having VBG VBG O
been VBN VBN O
made VBN VBN O
on IN IN O
several JJ JJ O
occasions NNS NNS O
the DT DT O
Corporation NNP NNP O
could MD MD O
not RB RB O
get VB VB O
an DT DT O
offer NN NN O
of IN IN O
more JJR JJR O
than IN IN O
about IN IN O
Rupees NNP NNP O
five CD CD O
lakhs NN NN O
. . . O
Having VBG VBG O
failed VBN VBN O
to TO TO O
recover VB VB O
the DT DT O
amount NN NN O
due JJ JJ O
to TO TO O
it PRP PRP O
in IN IN O
the DT DT O
manner NN NN O
stated VBN VBN O
above IN IN O
the DT DT O
Corporation NNP NNP O
proceeded VBD VBD O
to TO TO O
recover VB VB O
the DT DT O
same JJ JJ O
from IN IN O
the DT DT O
sureties NNS NNS O
whose WP$ WP$ O
liability NN NN O
was VBD VBD O
co-extensive JJ JJ O
and CC CC O
for IN IN O
this DT DT O
purpose NN NN O
it PRP PRP O
filed VBD VBD O
a DT DT O
petition NN NN O
in IN IN O
the DT DT O
High NNP NNP O
Court NNP NNP O
under IN IN O
Ss NNP NNP O
. . . O

offer NN NN O
of IN IN O
more JJR JJR O
than IN IN O
about IN IN O
Rupees NNP NNP O
five CD CD O
lakhs NN NN O
. . . O
Having VBG VBG O
failed VBN VBN O
to TO TO O
recover VB VB O
the DT DT O
amount NN NN O
due JJ JJ O
to TO TO O
it PRP PRP O
in IN IN O
the DT DT O
manner NN NN O
stated VBN VBN O
above IN IN O
the DT DT O
Corporation NNP NNP O
proceeded VBD VBD O
to TO TO O
recover VB VB O
the DT DT O
same JJ JJ O
from IN IN O
the DT DT O
sureties NNS NNS O
whose WP$ WP$ O
liability NN NN O
was VBD VBD O
co-extensive JJ JJ O
and CC CC O
for IN IN O
this DT DT O
purpose NN NN O
it PRP PRP O
filed VBD VBD O
a DT DT O
petition NN NN O
in IN IN O
the DT DT O
High NNP NNP O
Court NNP NNP O
under IN IN O
Ss NNP NNP I-LC
. . . I-LC
31 CD CD I-LC
and CC CC I-LC
32 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
arraying VBG VBG O
the DT DT O
Company NN NN O
as IN IN O
Respondent NNP NNP O
No DT DT O
. . . O
1 CD CD O
and CC CC O
the DT DT O
sureties NNS NNS O
as IN IN O
Respondents NNP NNP O
2 CD CD O
to TO TO O
4 CD CD O
with IN IN O
the DT DT O
prayer NN NN O
that WDT WDT O
' VBZ VBZ O
the DT DT O
respondents NNS NNS O
be VB VB O
jointly RB RB O
and CC CC O
severally RB RB O
ordered VBN VBN O
and CC CC O
decreed VBN VBN O
to TO TO O
pay VB VB O
to TO TO O
the DT DT O
petitioners NNS NNS O
the DT DT O
sum NN NN O
of IN IN O
Rs NNP NNP O
. . . O
15 CD CD O
87 CD CD O
391.20 CD CD O
as IN IN O
per IN IN O
particulars NNS NNS O
hereto NN NN O
annexed NN NN O
and CC CC O

31 CD CD I-LC
and CC CC I-LC
32 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
arraying VBG VBG O
the DT DT O
Company NN NN O
as IN IN O
Respondent NNP NNP O
No DT DT O
. . . O
1 CD CD O
and CC CC O
the DT DT O
sureties NNS NNS O
as IN IN O
Respondents NNP NNP O
2 CD CD O
to TO TO O
4 CD CD O
with IN IN O
the DT DT O
prayer NN NN O
that WDT WDT O
' VBZ VBZ O
the DT DT O
respondents NNS NNS O
be VB VB O
jointly RB RB O
and CC CC O
severally RB RB O
ordered VBN VBN O
and CC CC O
decreed VBN VBN O
to TO TO O
pay VB VB O
to TO TO O
the DT DT O
petitioners NNS NNS O
the DT DT O
sum NN NN O
of IN IN O
Rs NNP NNP O
. . . O
15 CD CD O
87 CD CD O
391.20 CD CD O
as IN IN O
per IN IN O
particulars NNS NNS O
hereto NN NN O
annexed JJ JJ O
and CC CC O
marked VBD VBD O
Ex NNP NNP O
. . . O
H NNP NNP O
. . . O
with IN IN O
further JJ JJ O
interest NN NN O
at IN IN O
the DT DT O
rate NN NN O
of IN IN O
14-1/2% JJ JJ O
per IN IN O
annum NN NN O
till NN NN O
payment NN NN O
and CC CC O
may MD MD O
further VB VB O
' POS POS O
be VB VB O
ordered VBN VBN O
to TO TO O
pay VB VB O
to TO TO O
the DT DT O
petitioners NNS NNS O
costs NNS NNS O
of IN IN O
the DT DT O
petition NN NN O
'. POS POS O
Thus RB RB O
according VBG VBG O
to TO TO O
the DT DT O
relief NN NN O
claimed VBD VBD O
in IN IN O
the DT DT O
petition NN NN O
the DT DT O
liability NN NN O
of IN IN O
the DT DT O
respondents NNS NNS O
with IN IN O
regard NN NN O
to TO TO O
the DT DT O
amount NN NN O
payable JJ JJ O
to TO TO O

marked VBD VBD O
Ex NNP NNP O
. . . O
H NNP NNP O
. . . O
with IN IN O
further JJ JJ O
interest NN NN O
at IN IN O
the DT DT O
rate NN NN O
of IN IN O
14-1/2% JJ JJ O
per IN IN O
annum NN NN O
till NN NN O
payment NN NN O
and CC CC O
may MD MD O
further VB VB O
' POS POS O
be VB VB O
ordered VBN VBN O
to TO TO O
pay VB VB O
to TO TO O
the DT DT O
petitioners NNS NNS O
costs NNS NNS O
of IN IN O
the DT DT O
petition NN NN O
'. POS POS O
Thus RB RB O
according VBG VBG O
to TO TO O
the DT DT O
relief NN NN O
claimed VBD VBD O
in IN IN O
the DT DT O
petition NN NN O
the DT DT O
liability NN NN O
of IN IN O
the DT DT O
respondents NNS NNS O
with IN IN O
regard NN NN O
to TO TO O
the DT DT O
amount NN NN O
payable JJ JJ O
to TO TO O
the DT DT O
Corporation NNP NNP O
on IN IN O
the DT DT O
date NN NN O
of IN IN O
making VBG VBG O
of IN IN O
the DT DT O
petition NN NN O
was VBD VBD O
for IN IN O
a DT DT O
sum NN NN O
which WDT WDT O
was VBD VBD O
more JJR JJR O
than IN IN O
Rupees NNP NNP O
fifty NN NN O
thousand CD CD O
which WDT WDT O
as IN IN O
will MD MD O
be VB VB O
presently RB RB O
shown VBN VBN O
represents NNS NNS O
maximum NN NN O
amount NN NN O
over IN IN O
which WDT WDT O
the DT DT O
Bombay NNP NNP O
City NNP NNP O
Civil NNP NNP O
Court NNP NNP O
has VBZ VBZ O
pecuniary JJ JJ O
jurisdiction NN NN O
. . . O
The DT DT O
respondents NNS NNS O
contested VBD VBD O
the DT DT O
petition NN NN O
and CC CC O
raised VBD VBD O
three CD CD O
pleas NNS NNS O
in IN IN O

the DT DT O
Corporation NNP NNP O
on IN IN O
the DT DT O
date NN NN O
of IN IN O
making VBG VBG O
of IN IN O
the DT DT O
petition NN NN O
was VBD VBD O
for IN IN O
a DT DT O
sum NN NN O
which WDT WDT O
was VBD VBD O
more JJR JJR O
than IN IN O
Rupees NNP NNP O
fifty NN NN O
thousand CD CD O
which WDT WDT O
as IN IN O
will MD MD O
be VB VB O
presently RB RB O
shown VBN VBN O
represents NNS NNS O
maximum NN NN O
amount NN NN O
over IN IN O
which WDT WDT O
the DT DT O
Bombay NNP NNP O
City NNP NNP O
Civil NNP NNP O
Court NNP NNP O
has VBZ VBZ O
pecuniary JJ JJ O
jurisdiction NN NN O
. . . O
The DT DT O
respondents NNS NNS O
contested VBD VBD O
the DT DT O
petition NN NN O
and CC CC O
raised VBD VBD O
three CD CD O
pleas NNS NNS O
in IN IN O
defence NN NN O
: : : O
( ( ( O
1 CD CD O
) ) ) O
A DT DT O
petition NN NN O
under IN IN O
Sections NNP NNP I-LC
31 CD CD I-LC
and CC CC I-LC
32 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
could MD MD O
be VB VB O
filed VBN VBN O
only RB RB O
in IN IN O
the DT DT O
Bombay NNP NNP O
City NNP NNP O
Civil NNP NNP O
Court NNP NNP O
and CC CC O
the DT DT O
High NNP NNP O
Court NNP NNP O
had VBD VBD O
no DT DT O
jurisdiction NN NN O
to TO TO O
entertain VB VB O
it PRP PRP O
( ( ( O
2 CD CD O
) ) ) O
the DT DT O
relief NN NN O
claimed VBD VBD O
in IN IN O
the DT DT O
petition NN NN O
could MD MD O
not RB RB O
be VB VB O
granted VBN VBN O
under IN IN O
Sections NNP NNP I-LC
31 CD CD I-LC
and CC CC I-LC
32 CD CD I-LC
of IN IN I-LC
the DT DT I-LC

defence NN NN I-LC
: : : I-LC
( ( ( I-LC
1 CD CD I-LC
) ) ) I-LC
A DT DT O
petition NN NN O
under IN IN O
Sections NNP NNP I-LC
31 CD CD I-LC
and CC CC I-LC
32 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
could MD MD O
be VB VB O
filed VBN VBN O
only RB RB O
in IN IN O
the DT DT O
Bombay NNP NNP O
City NNP NNP O
Civil NNP NNP O
Court NNP NNP O
and CC CC O
the DT DT O
High NNP NNP O
Court NNP NNP O
had VBD VBD O
no DT DT O
jurisdiction NN NN O
to TO TO O
entertain VB VB O
it PRP PRP O
( ( ( O
2 CD CD O
) ) ) O
the DT DT O
relief NN NN O
claimed VBD VBD O
in IN IN O
the DT DT O
petition NN NN O
could MD MD O
not RB RB O
be VB VB O
granted VBN VBN O
under IN IN O
Sections NNP NNP I-LC
31 CD CD I-LC
and CC CC I-LC
32 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
inasmuch NN NN O
has VBZ VBZ O
these DT DT O
sections NNS NNS O
did VBD VBD O
not RB RB O
contemplate VB VB O
passing VBG VBG O
of IN IN O
a DT DT O
money NN NN O
decree NN NN O
not RB RB O
only RB RB O
against IN IN O
the DT DT O
principal JJ JJ O
debtor NN NN O
but CC CC O
also RB RB O
against IN IN O
the DT DT O
sureties NNS NNS O
; : : O
and CC CC O
( ( ( O
3 CD CD O
) ) ) O
the DT DT O
provisions NNS NNS O
in IN IN O
the DT DT O
Act NNP NNP O
relating VBG VBG O
to TO TO O
enforcement NN NN O
of IN IN O
the DT DT O
liability NN NN O
of IN IN O
a DT DT O
surety NN NN O
were VBD VBD O
ultra JJ JJ O
vires NNS NNS O
Article NN NN I-LC
14 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Constitution NNP NNP I-LC
. . . O
The DT DT O
learned JJ JJ O

Act NNP NNP O
inasmuch NN NN O
has VBZ VBZ O
these DT DT O
sections NNS NNS O
did VBD VBD O
not RB RB O
contemplate VB VB O
passing VBG VBG O
of IN IN O
a DT DT O
money NN NN O
decree NN NN O
not RB RB O
only RB RB O
against IN IN O
the DT DT O
principal JJ JJ O
debtor NN NN O
but CC CC O
also RB RB O
against IN IN O
the DT DT O
sureties NNS NNS O
; : : O
and CC CC O
( ( ( O
3 CD CD O
) ) ) O
the DT DT O
provisions NNS NNS O
in IN IN O
the DT DT O
Act NNP NNP O
relating VBG VBG O
to TO TO O
enforcement NN NN O
of IN IN O
the DT DT O
liability NN NN O
of IN IN O
a DT DT O
surety NN NN O
were VBD VBD O
ultra JJ JJ O
vires NNS NNS O
Article NN NN I-LC
14 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Constitution NNP NNP I-LC
. . . O
The DT DT O
learned JJ JJ O
single JJ JJ O
Judge NNP NNP O
of IN IN O
the DT DT O
High NNP NNP O
Court NNP NNP O
before IN IN O
whom WP WP O
the DT DT O
petition NN NN O
came VBD VBD O
up RB RB O
for IN IN O
hearing NN NN O
did VBD VBD O
not RB RB O
in IN IN O
view NN NN O
of IN IN O
his PRP$ PRP$ O
finding VBG VBG O
on IN IN O
the DT DT O
first JJ JJ O
two CD CD O
pleas NNS NNS O
entertain VBP VBP O
any DT DT O
argument NN NN O
on IN IN O
the DT DT O
last JJ JJ O
plea NN NN O
nor CC CC O
has VBZ VBZ O
the DT DT O
said VBN VBN O
plea NN NN O
been VBN VBN O
raised VBN VBN O
before IN IN O
us PRP PRP O
and CC CC O
as IN IN O
such JJ JJ O
the DT DT O
same JJ JJ O
does VBZ VBZ O
not RB RB O
need VB VB O

single JJ JJ O
Judge NNP NNP O
of IN IN O
the DT DT O
High NNP NNP O
Court NNP NNP O
before IN IN O
whom WP WP O
the DT DT O
petition NN NN O
came VBD VBD O
up RB RB O
for IN IN O
hearing NN NN O
did VBD VBD O
not RB RB O
in IN IN O
view NN NN O
of IN IN O
his PRP$ PRP$ O
finding VBG VBG O
on IN IN O
the DT DT O
first JJ JJ O
two CD CD O
pleas NNS NNS O
entertain VBP VBP O
any DT DT O
argument NN NN O
on IN IN O
the DT DT O
last JJ JJ O
plea NN NN O
nor CC CC O
has VBZ VBZ O
the DT DT O
said VBN VBN O
plea NN NN O
been VBN VBN O
raised VBN VBN O
before IN IN O
us PRP PRP O
and CC CC O
as IN IN O
such JJ JJ O
the DT DT O
same JJ JJ O
does VBZ VBZ O
not RB RB O
need VB VB O
to TO TO O
be VB VB O
gone VBN VBN O
into IN IN O
. . . O
As IN IN O
regards VBZ VBZ O
the DT DT O
second JJ JJ O
plea NN NN O
it PRP PRP O
was VBD VBD O
conceded VBN VBN O
before IN IN O
the DT DT O
learned JJ JJ O
single JJ JJ O
Judge NNP NNP O
on IN IN O
behalf NN NN O
of IN IN O
the DT DT O
Corporation NNP NNP O
by IN IN O
its PRP$ PRP$ O
learned JJ JJ O
counsel NN NN O
that IN IN O
no DT DT O
such JJ JJ O
money NN NN O
decree NN NN O
could MD MD O
be VB VB O
passed VBN VBN O
against IN IN O
the DT DT O
Company NN NN O
as IN IN O
was VBD VBD O
claimed VBN VBN O
in IN IN O
the DT DT O
petition NN NN O
. . . O
It PRP PRP O
was VBD VBD O
however RB RB O
asserted VBN VBN O
that IN IN O
such JJ JJ O
a DT DT O

to TO TO O
be VB VB O
gone VBN VBN O
into IN IN O
. . . O
As IN IN O
regards VBZ VBZ O
the DT DT O
second JJ JJ O
plea NN NN O
it PRP PRP O
was VBD VBD O
conceded VBN VBN O
before IN IN O
the DT DT O
learned JJ JJ O
single JJ JJ O
Judge NNP NNP O
on IN IN O
behalf NN NN O
of IN IN O
the DT DT O
Corporation NNP NNP O
by IN IN O
its PRP$ PRP$ O
learned JJ JJ O
counsel NN NN O
that IN IN O
no DT DT O
such JJ JJ O
money NN NN O
decree NN NN O
could MD MD O
be VB VB O
passed VBN VBN O
against IN IN O
the DT DT O
Company NN NN O
as IN IN O
was VBD VBD O
claimed VBN VBN O
in IN IN O
the DT DT O
petition NN NN O
. . . O
It PRP PRP O
was VBD VBD O
however RB RB O
asserted VBN VBN O
that IN IN O
such JJ JJ O
a DT DT O
decree NN NN O
could MD MD O
be VB VB O
passed VBN VBN O
as IN IN O
against IN IN O
the DT DT O
sureties NNS NNS O
. . . O
In IN IN O
this DT DT O
view NN NN O
of IN IN O
the DT DT O
matter NN NN O
the DT DT O
petition NN NN O
was VBD VBD O
treated VBN VBN O
and CC CC O
decided VBD VBD O
as IN IN O
being VBG VBG O
confined VBN VBN O
against IN IN O
the DT DT O
sureties NNS NNS O
only RB RB O
. . . O
In IN IN O
regard NN NN O
to TO TO O
the DT DT O
plea NN NN O
of IN IN O
jurisdiction NN NN O
the DT DT O
learned VBN VBN O
single JJ JJ O
Judge NNP NNP O
took VBD VBD O
the DT DT O
view NN NN O
that IN IN O
since IN IN O
an DT DT O
appeal NN NN O
was VBD VBD O
pending VBG VBG O
before IN IN O
a DT DT O
Division NNP NNP O

decree NN NN O
could MD MD O
be VB VB O
passed VBN VBN O
as IN IN O
against IN IN O
the DT DT O
sureties NNS NNS O
. . . O
In IN IN O
this DT DT O
view NN NN O
of IN IN O
the DT DT O
matter NN NN O
the DT DT O
petition NN NN O
was VBD VBD O
treated VBN VBN O
and CC CC O
decided VBD VBD O
as IN IN O
being VBG VBG O
confined VBN VBN O
against IN IN O
the DT DT O
sureties NNS NNS O
only RB RB O
. . . O
In IN IN O
regard NN NN O
to TO TO O
the DT DT O
plea NN NN O
of IN IN O
jurisdiction NN NN O
the DT DT O
learned VBN VBN O
single JJ JJ O
Judge NNP NNP O
took VBD VBD O
the DT DT O
view NN NN O
that IN IN O
since IN IN O
an DT DT O
appeal NN NN O
was VBD VBD O
pending VBG VBG O
before IN IN O
a DT DT O
Division NNP NNP O
Bench NNP NNP O
of IN IN O
the DT DT O
High NNP NNP O
Court NNP NNP O
against IN IN O
the DT DT O
judgment NN NN O
of IN IN O
a DT DT O
single JJ JJ O
Judge NNP NNP O
in IN IN O
Misc NNP NNP O
. . . O
Petition NNP NNP O
No DT DT O
. . . O
357 CD CD O
of IN IN O
1985 CD CD O
Maharashtra NNP NNP I-CC
State NNP NNP I-CC
Financial NNP NNP I-CC
Corpn NNP NNP I-CC
. . . I-CC
v NN NN I-CC
. . . I-CC
Hindtex NNP NNP I-CC
Engineers NNP NNP I-CC
Pvt NNP NNP I-CC
. . . I-CC
Ltd NNP NNP I-CC
decided VBD VBD O
on IN IN O
3rd CD CD O
December NNP NNP O
1986 CD CD O
( ( ( O
since IN IN O
reported VBN VBN O
in IN IN O
1987 CD CD O
Mah NNP NNP O
LJ NNP NNP O
243 CD CD O
) ) ) O
in IN IN O
which WDT WDT O
it PRP PRP O
had VBD VBD O
been VBN VBN O
held VBN VBN O
that IN IN O
such JJ JJ O
a DT DT O
petition NN NN O

Bench NNP NNP O
of IN IN O
the DT DT O
High NNP NNP O
Court NNP NNP O
against IN IN O
the DT DT O
judgment NN NN O
of IN IN O
a DT DT O
single JJ JJ O
Judge NNP NNP O
in IN IN O
Misc NNP NNP O
. . . O
Petition NNP NNP O
No DT DT O
. . . O
357 CD CD O
of IN IN O
1985 CD CD O
Maharashtra NNP NNP I-CC
State NNP NNP I-CC
Financial NNP NNP I-CC
Corpn NNP NNP I-CC
. . . I-CC
v NN NN I-CC
. . . I-CC
Hindtex NNP NNP I-CC
Engineers NNP NNP I-CC
Pvt NNP NNP I-CC
. . . I-CC
Ltd NNP NNP I-CC
decided VBD VBD O
on IN IN O
3rd CD CD O
December NNP NNP O
1986 CD CD O
( ( ( O
since IN IN O
reported VBN VBN O
in IN IN O
1987 CD CD O
Mah NNP NNP O
LJ NNP NNP O
243 CD CD O
) ) ) O
in IN IN O
which WDT WDT O
it PRP PRP O
had VBD VBD O
been VBN VBN O
held VBN VBN O
that IN IN O
such JJ JJ O
a DT DT O
petition NN NN O
was VBD VBD O
